Time;X;Y
0;0;0
1;0;1121.155518
2;0;1131.057518
3;0;1140.992018
4;0;1151.307518
5;0;1160.351518
6;0;1169.141018
7;0;1178.519018
8;0;1187.030518
9;0;1195.502518
10;0;1203.441518
11;0;1211.190518
12;0;1218.994518
13;0;1226.592018
14;0;1234.221518
15;0;1241.485518
16;0;1248.169018
17;0;1254.868518
18;0;1262.084518
19;0;1269.285018
20;0;1276.040018
21;0;1282.104018
22;0;1289.065518
23;0;1295.209018
24;0;1301.257018
25;0;1307.877018
26;0;1313.543518
27;0;1319.885018
28;0;1325.663018
29;0;1331.575518
30;0;1337.369018
31;0;1343.004018
32;0;1348.368018
33;0;1354.003018
34;0;1359.335518
35;0;1365.200518
36;0;1370.056518
37;0;1375.142518
38;0;1380.467518
39;0;1385.347018
40;0;1390.751018
41;0;1395.448018
42;0;1400.462518
43;0;1405.231018
44;0;1410.253518
45;0;1415.133518
46;0;1419.099018
47;0;1424.058018
48;0;1428.342018
49;0;1433.348518
50;0;1437.481018
51;0;1442.003518
52;0;1447.010018
53;0;1450.586518
54;0;1455.203518
55;0;1459.479518
56;0;1463.397518
57;0;1467.752518
58;0;1471.813518
59;0;1476.288018
60;0;1480.531518
61;0;1483.965018
62;0;1488.193018
63;0;1492.166518
64;0;1496.418518
65;0;1499.812018
66;0;1503.809518
67;0;1507.886018
68;0;1511.685018
69;0;1515.412518
70;0;1518.814018
71;0;1522.430018
72;0;1525.855018
73;0;1529.534518
74;0;1533.635518
75;0;1537.211518
76;0;1540.700518
77;0;1544.014518
78;0;1547.241018
79;0;1550.237518
80;0;1554.338018
81;0;1557.628518
82;0;1560.632518
83;0;1564.034018
84;0;1567.602018
85;0;1570.455018
86;0;1574.015518
87;0;1577.361518
88;0;1580.190518
89;0;1584.077018
90;0;1586.604018
91;0;1590.037518
92;0;1592.644018
93;0;1596.570018
94;0;1599.018018
95;0;1602.133018
96;0;1604.533018
97;0;1607.998018
98;0;1610.509518
99;0;1613.903018
100;0;1616.883518
101;0;1619.609018
102;0;1622.232018
103;0;1625.013518
104;0;1628.160518
105;0;1630.608018
106;0;1633.382018
107;0;1636.457518
108;0;1638.929018
109;0;1641.607518
110;0;1644.603518
111;0;1646.972018
112;0;1649.507018
113;0;1652.646018
114;0;1654.505518
115;0;1657.676518
116;0;1660.021018
117;0;1662.461018
118;0;1664.781518
119;0;1667.650518
120;0;1670.042518
121;0;1671.894518
122;0;1674.993518
123;0;1677.068018
124;0;1680.263018
125;0;1682.091018
126;0;1684.276018
127;0;1686.819518
128;0;1688.766518
129;0;1691.429018
130;0;1693.630018
131;0;1695.593018
132;0;1697.961518
133;0;1700.163018
134;0;1702.849018
135;0;1704.597518
136;0;1707.260018
137;0;1708.515518
138;0;1711.003018
139;0;1712.775018
140;0;1715.572518
141;0;1717.400518
142;0;1719.387518
143;0;1721.763518
144;0;1723.917518
145;0;1726.031518
146;0;1727.287018
147;0;1730.172018
148;0;1731.832518
149;0;1734.018518
150;0;1735.552018
151;0;1737.594518
152;0;1739.327018
153;0;1741.274018
