X;Y
0;0
0;2774.748535
0;3451.613525
0;4392.943359
0;4708.064941
0;5049.881836
0;5074.737305
0;5093.548828
0;5110.670898
0;5134.758789
0;5167.398438
0;5212.696289
0;5269.961914
0;5322.551758
0;5371.0625
0;5416.427734
0;5459.152344
0;5499.456543
0;5537.561035
0;5573.88916
0;5608.483887
0;5641.609863
0;5673.286133
0;5703.408691
0;5731.92627
0;5758.811523
0;5784.100586
0;5807.845703
0;5830.132324
0;5850.597168
0;5870.200195
0;5889.26123
0;5907.841309
0;5926.021973
0;5943.822754
0;5961.271973
0;5978.413574
0;5995.265137
0;6011.820801
0;6028.123047
0;6044.164063
0;6059.974609
0;6075.56543
0;6090.908691
0;6106.060059
0;6121.009277
0;6135.763184
0;6150.328613
0;6164.712402
0;6178.899902
0;6192.930176
0;6206.804199
0;6220.509277
0;6234.060059
0;6247.461426
0;6260.709961
0;6273.80957
0;6286.769531
0;6299.601074
0;6312.285645
0;6324.847656
0;6337.279785
0;6349.581055
0;6361.758789
0;6373.822266
0;6385.76123
0;6397.583496
0;6409.303223
0;6420.904297
0;6432.395996
0;6443.788086
0;6455.056152
0;6466.222656
0;6477.288086
0;6488.256836
0;6499.133301
0;6509.899414
0;6520.576172
0;6531.159668
0;6541.644531
0;6552.040527
0;6562.348633
0;6572.564453
0;6582.68457
0;6592.720215
0;6602.672363
0;6612.541992
0;6622.32959
0;6632.030762
0;6641.645996
0;6651.184082
0;6660.643555
0;6670.02002
0;6679.319336
0;6688.541504
0;6697.690918
0;6706.764648
0;6715.758301
0;6724.677246
0;6733.526367
0;6742.306641
0;6751.016113
0;6759.652344
0;6768.21875
0;6776.714844
0;6785.140625
0;6793.499023
0;6800.858887
