Element;Node-1;Node-2;Node-3;Node-4
298;847;127;871;894
299;131;547;489;508
300;558;941;571;1221
301;900;887;860;877
302;865;829;881;903
303;165;944;952;922
304;1361;990;1006;1028
305;1068;1129;1060;188
306;1246;1070;211;1094
307;1111;1102;212;1131
308;132;1235;855;815
309;842;856;143;797
310;943;942;1355;154
311;178;1053;1039;1038
312;1108;190;1107;189
313;1123;191;1196;1202
314;843;144;816;143
315;924;919;1340;939
316;1300;1026;1326;1301
317;1159;1076;1317;179
318;190;1104;1099;1160
319;742;723;124;756
320;777;134;1157;770
321;858;145;844;144
322;1295;1023;1025;157
323;1054;168;1301;1048
324;1152;1069;1082;1195
325;758;746;125;771
326;1324;1313;1314;135
327;146;1293;1322;912
328;158;1003;1021;1034
329;774;1336;1335;126
330;1150;846;911;136
331;994;1243;975;1265
332;1004;158;1036;1024
333;934;140;1222;1229
334;151;604;616;659
335;1261;655;1233;589
336;625;162;616;1244
337;162;680;712;669
338;604;1227;1244;616
339;1309;883;142;1333
340;815;842;797;133
341;816;777;797;143
342;1289;1288;135;1314
343;961;949;1293;146
344;512;563;609;530
345;1158;732;827;1298
346;826;1356;841;164
347;176;953;944;1364
348;1068;188;998;1149
349;1144;1013;1041;1303
350;1078;210;1070;1246
351;153;880;877;860
352;1360;878;1355;155
353;858;861;905;1351
354;302;15;469;478
355;507;470;149;530
356;373;149;470;1169
357;516;570;161;539
358;732;1158;163;751
359;829;164;841;881
360;165;922;903;881
361;942;166;959;1346
362;1023;1295;156;1002
363;1044;1021;1046;168
364;764;174;799;779
365;826;175;839;1356
366;177;990;978;952
367;1326;1327;1048;1301
368;1317;1076;1054;1048
369;182;501;532;550
370;1363;1362;1371;931
371;810;799;174;711
372;935;1368;970;953
373;1006;990;177;1016
374;1053;1328;1060;1095
375;1159;179;1087;1160
376;554;573;602;193
377;618;640;675;194
378;726;745;727;693
379;745;726;1366;1141
380;813;832;207;795
381;850;813;868;197
382;868;917;960;197
383;1347;1012;1149;998
384;200;1245;201;1106
385;622;586;644;205
386;678;703;1330;708
387;768;753;206;708
388;795;207;791;217
389;219;950;955;923
390;986;972;956;1005
391;753;768;791;207
392;208;833;218;916
393;950;893;916;955
394;1013;209;1029;1041
395;535;560;1212;596
396;535;1192;537;560
397;1283;649;226;667
398;705;722;754;736
399;892;838;853;891
400;838;823;228;853
401;892;1268;981;902
402;995;1341;991;1010
403;1020;230;995;1010
404;1061;230;1020;1049
405;1075;1050;1286;1059
406;1065;1074;231;1050
407;519;538;245;394
408;598;597;234;499
409;666;590;647;236
410;707;248;750;737
411;784;803;1290;237
412;250;882;863;862
413;896;239;1252;1249
414;909;948;896;1249
415;1059;1071;1083;243
416;243;1083;1086;1100
417;1086;1097;1116;1100
418;646;626;246;1183
419;626;646;676;247
420;724;248;707;688
421;785;825;1262;763
422;840;1200;862;863
423;875;250;862;1203
424;925;909;875;898
425;979;951;965;263
426;1015;1032;263;1000
427;1052;253;1042;1225
428;1063;1073;1052;1225
429;1042;253;1255;1045
430;1084;1213;1162;254
431;565;1191;534;600
432;744;748;743;1257
433;258;1257;738;1248
434;807;788;773;822
435;885;261;849;272
436;885;910;920;1201
437;993;965;977;999
438;993;1000;263;965
439;264;1072;1063;1225
440;1063;1072;1080;265
441;1031;1015;1000;1043
442;613;600;619;256
443;719;735;269;731
444;33;436;426;324
445;322;31;434;428
446;321;30;433;429
447;5;288;1168;278
448;360;1168;476;490
449;0;359;365;280
450;1;361;366;281
451;367;366;493;66
452;2;362;368;283
453;368;67;494;369
454;370;364;1161;68
455;4;363;371;286
456;286;371;372;287
457;481;482;294;10
458;1153;475;566;105
459;503;472;299;13
460;130;474;301;14
461;470;507;1170;1169
462;305;28;331;379
463;392;379;443;267
464;393;378;638;256
465;394;395;308;19
466;389;396;21;310
467;375;381;22;311
468;390;397;23;312
469;376;382;24;313
470;315;25;385;386
471;385;182;496;386
472;383;387;26;316
473;384;160;497;388
474;420;432;29;319
475;433;430;1117;276
476;434;429;1098;275
477;1051;435;1172;428
478;436;1173;427;1018
479;272;438;437;1179
480;422;440;36;327
481;423;441;37;328
482;424;442;38;329
483;267;443;425;683
484;332;6;287;372
485;444;431;69;545
486;42;398;445;334
487;43;399;446;335
488;44;400;447;336
489;45;401;448;337
490;1174;983;450;449
491;403;451;47;339
492;404;452;48;340
493;405;453;49;341
494;406;454;50;342
495;407;455;51;343
496;408;456;52;344
497;409;457;53;345
498;410;458;54;346
499;415;464;59;352
500;416;465;60;353
501;417;466;61;354
502;418;467;62;355
503;288;289;476;1168
504;361;65;493;366
505;368;362;491;67
506;362;2;282;367
507;363;4;285;370
508;369;284;283;368
509;364;369;494;1161
510;16;318;373;1169
511;318;27;388;373
512;309;308;395;374
513;389;380;617;224
514;213;381;375;1145
515;382;376;594;192
516;619;377;393;256
517;519;394;377;619
518;613;256;638;671
519;392;267;638;378
520;381;213;500;390
521;501;391;382;192
522;498;387;383;171
523;27;317;384;388
524;391;385;25;314
525;389;224;520;396
526;397;390;500;203
527;573;594;203;549
528;75;628;445;398
529;398;42;333;444
530;399;445;628;82
531;89;808;789;1185
532;98;824;809;819
533;889;402;98;845
534;1138;404;451;112
535;1001;405;452;120
536;1017;1148;138;988
537;1024;1033;148;1008
538;1155;1165;159;1036
539;1152;1166;170;1062
540;1140;1167;181;1091
541;458;411;347;54
542;458;181;1167;411
543;459;412;348;55
544;202;1132;1125;1128
545;460;413;349;56
546;1111;1131;202;1128
547;414;350;57;461
548;223;1127;1124;1197
549;1146;416;464;233
550;255;1119;1116;1162
551;1186;1120;1213;1113
552;1186;1154;266;1120
553;468;277;432;420
554;63;356;419;468
555;1112;1117;277;1103
556;326;325;438;421
557;1137;422;439;271
558;757;423;440;270
559;268;682;671;683
560;39;330;425;443
561;910;426;273;920
562;1179;437;426;910
563;273;1018;999;977
564;273;426;436;1018
565;1043;274;435;1051
566;274;1018;427;435
567;275;1098;1088;1181
568;434;275;1051;428
569;30;320;430;433
570;432;430;320;29
571;427;1173;1172;435
572;874;438;272;849
573;325;34;437;438
574;439;421;1177;271
575;440;422;1137;270
576;269;441;423;757
577;268;442;424;735
578;338;46;449;450
579;451;403;1176;112
580;452;404;1138;120
581;453;405;1001;129
582;454;406;1147;138
583;455;407;1148;148
584;456;408;1033;159
585;457;409;1165;170
586;458;410;1166;181
587;459;411;1167;191
588;460;412;1132;202
589;461;413;1131;212
590;1178;463;462;223
591;351;58;462;463
592;233;464;415;1130
593;244;465;416;1146
594;466;417;1119;255
595;266;467;418;1120
596;277;468;419;1154
597;15;303;485;469
598;130;526;508;474
599;485;1170;507;528
600;83;473;471;487
601;293;294;482;471
602;518;122;523;121
603;83;488;76;473
604;490;476;480;505
605;484;480;7;290
606;10;295;479;481
607;495;529;479;90
608;482;481;509;104
609;121;503;483;489
610;504;484;477;527
611;504;505;480;484
612;469;485;528;139
613;506;486;472;523
614;486;506;607;475
615;568;515;544;103
616;77;690;645;665
617;513;494;67;540
618;1161;494;513;599
619;358;495;90;1171
620;512;497;160;539
621;149;497;512;530
622;499;245;511;598
623;224;617;510;1192
624;596;601;213;1145
625;514;502;76;488
626;64;490;505;559
627;531;506;523;122
628;113;607;506;531
629;552;528;507;530
630;130;478;1175;526
631;91;557;509;529
632;561;510;597;235
633;538;562;511;245
634;527;514;690;77
635;84;664;515;568
636;536;1134;64;559
637;570;516;546;172
638;160;498;516;539
639;569;517;595;74
640;545;517;569;75
641;518;1221;571;122
642;534;519;619;600
643;520;224;1192;535
644;1145;520;535;596
645;542;521;105;566
646;541;521;106;581
647;549;522;574;204
648;540;524;572;73
649;67;491;524;540
650;611;525;550;183
651;567;1189;1222;575
652;504;527;653;70
653;579;553;556;123
654;1136;532;554;193
655;576;533;555;71
656;548;533;576;72
657;538;1183;246;562
658;538;519;534;1183
659;560;537;1264;1212
660;65;1134;536;555
661;1182;541;581;1198
662;580;963;1189;543
663;544;487;104;630
664;131;593;558;547
665;602;573;549;204
666;552;530;609;150
667;1204;654;114;631
668;1198;557;91;1182
669;593;131;551;140
670;615;941;558;593
671;235;591;225;561
672;537;561;225;1264
673;246;590;1207;562
674;597;598;1207;235
675;588;563;161;1233
676;564;73;605;1205
677;74;595;599;1205
678;1209;565;1143;257
679;1184;113;553;579
680;551;575;1222;140
681;567;139;543;1189
682;603;569;74;689
683;589;570;172;634
684;592;572;72;635
685;586;574;214;663
686;575;551;526;1175
687;584;576;71;1231
688;113;1184;577;607
689;542;566;577;654
690;123;556;578;800
691;578;122;571;614
692;608;1208;668;652
693;604;150;609;1227
694;151;1226;963;580
695;606;582;92;636
696;639;583;618;194
697;183;1136;583;621
698;72;576;584;635
699;620;584;1231;641
700;643;585;621;184
701;611;585;634;172
702;204;574;586;622
703;587;623;1318;102
704;85;624;587;670
705;588;1227;609;563
706;570;589;1233;161
707;647;626;247;725
708;235;1207;590;666
709;592;656;80;629
710;921;1156;934;899
711;594;376;397;203
712;214;601;596;1212
713;598;511;562;1207
714;513;564;1205;599
715;1143;565;600;613
716;601;214;574;522
717;640;602;204;622
718;897;614;571;941
719;926;1235;897;941
720;75;569;603;628
721;650;603;689;1210
722;604;151;580;150
723;74;1205;605;689
724;608;652;631;114
725;611;172;546;525
726;1204;632;542;654
727;581;1223;633;1198
728;926;941;615;930
729;625;588;1233;655
730;659;616;162;669
731;640;618;193;602
732;71;610;641;1231
733;78;642;620;661
734;1318;623;637;672
735;665;85;697;78
736;665;645;624;85
737;627;1283;667;648
738;666;649;591;235
739;631;658;632;1204
740;633;1223;107;660
741;92;582;633;660
742;680;655;1261;173
743;681;656;79;1274
744;103;606;636;637
745;671;638;267;683
746;673;639;194;696
747;79;635;642;674
748;1319;643;184;1334
749;1302;1282;643;1319
750;645;690;664;84
751;646;1209;685;676
752;1296;684;648;667
753;1212;648;684;214
754;236;722;649;666
755;759;775;81;733
756;652;668;662;115
757;653;527;77;661
758;114;654;577;1184
759;162;625;655;680
760;1261;589;634;1282
761;93;672;1291;657
762;1276;695;658;115
763;1272;612;658;695
764;691;669;163;1158
765;107;679;1316;660
766;657;1316;694;93
767;124;723;662;668
768;226;686;1296;667
769;684;215;663;214
770;756;124;769;780
771;670;715;702;85
772;102;1318;704;692
773;696;195;709;673
774;710;700;674;697
775;1248;676;685;258
776;185;711;698;968
777;1302;677;699;173
778;687;1277;1276;115
779;679;108;694;1316
780;173;699;712;680
781;712;699;174;764
782;80;656;681;1236
783;719;682;268;735
784;257;1143;682;719
785;721;257;719;731
786;227;804;705;1307
787;1297;1296;686;716
788;687;115;662;1275
