Time;X;Y
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
9.999999775999999369e-03;0.000000000000000000e+00;2.775615000396959658e+03
1.250000018600000082e-02;0.000000000000000000e+00;3.452906478535989208e+03
1.624999940400000120e-02;0.000000000000000000e+00;4.395041563356626284e+03
1.765624992499999907e-02;0.000000000000000000e+00;4.710500834796108393e+03
1.976562477599999937e-02;0.000000000000000000e+00;5.053056906853602413e+03
2.187499962699999967e-02;0.000000000000000000e+00;5.079048354986489358e+03
2.398437447799999997e-02;0.000000000000000000e+00;5.098994450964497446e+03
2.609374932900000027e-02;0.000000000000000000e+00;5.117242212022300009e+03
2.925781160599999833e-02;0.000000000000000000e+00;5.143123659234555817e+03
3.400390595200000060e-02;0.000000000000000000e+00;5.178534225751562190e+03
4.112304747099999880e-02;0.000000000000000000e+00;5.227965555476548616e+03
5.112304538500000300e-02;0.000000000000000000e+00;5.291008855556179697e+03
6.112304702400000317e-02;0.000000000000000000e+00;5.349206667663398548e+03
7.112304866299999639e-02;0.000000000000000000e+00;5.403311892194289612e+03
8.112304657699999366e-02;0.000000000000000000e+00;5.454256344410317979e+03
9.112304449100000481e-02;0.000000000000000000e+00;5.502499853094025639e+03
1.011230498549999940e-01;0.000000000000000000e+00;5.548293084972807264e+03
1.111230477690000051e-01;0.000000000000000000e+00;5.591860436957691491e+03
1.211230456830000024e-01;0.000000000000000000e+00;5.633570329383774151e+03
1.311230510470000055e-01;0.000000000000000000e+00;5.673517621297783990e+03
1.411230415109999969e-01;0.000000000000000000e+00;5.711913398974616030e+03
1.511230468750000000e-01;0.000000000000000000e+00;5.748850036818575973e+03
1.611230522390000031e-01;0.000000000000000000e+00;5.784347817975673024e+03
1.711230427029999945e-01;0.000000000000000000e+00;5.818346638020650062e+03
1.811230480669999976e-01;0.000000000000000000e+00;5.850828112492486980e+03
1.911230534320000063e-01;0.000000000000000000e+00;5.881710172158260320e+03
2.011230438949999921e-01;0.000000000000000000e+00;5.911003869129923260e+03
2.111230492589999952e-01;0.000000000000000000e+00;5.938690885227672879e+03
2.211230397220000088e-01;0.000000000000000000e+00;5.964899671216910065e+03
2.311230450869999897e-01;0.000000000000000000e+00;5.989082157721161821e+03
2.411230504509999928e-01;0.000000000000000000e+00;6.012140798886388438e+03
2.511230409149999843e-01;0.000000000000000000e+00;6.034583240339756230e+03
2.611230611800000045e-01;0.000000000000000000e+00;6.056539686104219072e+03
2.711230516429999904e-01;0.000000000000000000e+00;6.078096655815583290e+03
2.811230421070000096e-01;0.000000000000000000e+00;6.099279110806503013e+03
2.911230325699999955e-01;0.000000000000000000e+00;6.120089969708427816e+03
3.011230528350000157e-01;0.000000000000000000e+00;6.140561164248078967e+03
3.111230432989999795e-01;0.000000000000000000e+00;6.160745359027609084e+03
3.211230337620000208e-01;0.000000000000000000e+00;6.180604363294081850e+03
3.311230540280000190e-01;0.000000000000000000e+00;6.200196852457322166e+03
3.411230444910000048e-01;0.000000000000000000e+00;6.219520228033300555e+03
3.511230349539999906e-01;0.000000000000000000e+00;6.238576070503114352e+03
3.611230552199999888e-01;0.000000000000000000e+00;6.257420911065989458e+03
3.711230456829999746e-01;0.000000000000000000e+00;6.275980470086953574e+03
3.811230361460000160e-01;0.000000000000000000e+00;6.294329604025245317e+03
3.911230564120000142e-01;0.000000000000000000e+00;6.312452980116562685e+03
4.011230468750000000e-01;0.000000000000000000e+00;6.330375818922387225e+03
4.111230373379999858e-01;0.000000000000000000e+00;6.348092342728265066e+03
4.211230576039999840e-01;0.000000000000000000e+00;6.365643641036425834e+03
4.311230480670000254e-01;0.000000000000000000e+00;6.382953621061140439e+03
4.411230385300000112e-01;0.000000000000000000e+00;6.400076704318462362e+03
4.511230587960000094e-01;0.000000000000000000e+00;6.417042905486797281e+03
4.611230492589999952e-01;0.000000000000000000e+00;6.433835937657752766e+03
4.711230397219999810e-01;0.000000000000000000e+00;6.450455261531568794e+03
4.811230599879999792e-01;0.000000000000000000e+00;6.466904547661661127e+03
4.911230504510000205e-01;0.000000000000000000e+00;6.483179093555512736e+03
5.011230707170000187e-01;0.000000000000000000e+00;6.499308201115782140e+03
5.111230611799999490e-01;0.000000000000000000e+00;6.515271876633039028e+03
5.211230516429999904e-01;0.000000000000000000e+00;6.531102000058895101e+03
5.311230421070000096e-01;0.000000000000000000e+00;6.546766688765348590e+03
5.411230325700000510e-01;0.000000000000000000e+00;6.562307916119409128e+03
5.511230230329999813e-01;0.000000000000000000e+00;6.577707012085935276e+03
5.611230731009999584e-01;0.000000000000000000e+00;6.593004359880915217e+03
5.711230635639999997e-01;0.000000000000000000e+00;6.608130440993401862e+03
5.811230540280000190e-01;0.000000000000000000e+00;6.623111551358933866e+03
5.911230444909999493e-01;0.000000000000000000e+00;6.637973272379234913e+03
6.011230349539999906e-01;0.000000000000000000e+00;6.652703625994067806e+03
6.111230254170000320e-01;0.000000000000000000e+00;6.667292953314490660e+03
6.211230754850000091e-01;0.000000000000000000e+00;6.681777273044166577e+03
6.311230659480000504e-01;0.000000000000000000e+00;6.696156293859702600e+03
6.411230564119999586e-01;0.000000000000000000e+00;6.710409610952992807e+03
6.511230468750000000e-01;0.000000000000000000e+00;6.724564747961374451e+03
6.611230373380000414e-01;0.000000000000000000e+00;6.738578275304877025e+03
6.711230278019999496e-01;0.000000000000000000e+00;6.752453168192286284e+03
6.811230182649999909e-01;0.000000000000000000e+00;6.766237860365417873e+03
6.911230683329999680e-01;0.000000000000000000e+00;6.779902762271103711e+03
7.011230587960000094e-01;0.000000000000000000e+00;6.793490156825191661e+03
7.111230492590000507e-01;0.000000000000000000e+00;6.806960503237283774e+03
7.211230397219999810e-01;0.000000000000000000e+00;6.820310026613075934e+03
7.311230301860000003e-01;0.000000000000000000e+00;6.833547611206126021e+03
7.411230206490000416e-01;0.000000000000000000e+00;6.846697974202699697e+03
7.511230707170000187e-01;0.000000000000000000e+00;6.859778813240511226e+03
7.611230611799999490e-01;0.000000000000000000e+00;6.872741748265894785e+03
7.711230516429999904e-01;0.000000000000000000e+00;6.885611494257559571e+03
7.811230421070000096e-01;0.000000000000000000e+00;6.898356469940151328e+03
7.911230325700000510e-01;0.000000000000000000e+00;6.911020824857841944e+03
8.011230230329999813e-01;0.000000000000000000e+00;6.923576100249576484e+03
8.111230731009999584e-01;0.000000000000000000e+00;6.936037987834952219e+03
8.211230635639999997e-01;0.000000000000000000e+00;6.948433490646108112e+03
8.311230540280000190e-01;0.000000000000000000e+00;6.960720963436711827e+03
8.411230444909999493e-01;0.000000000000000000e+00;6.972928889814069407e+03
8.511230349539999906e-01;0.000000000000000000e+00;6.985029885552481574e+03
8.611230254170000320e-01;0.000000000000000000e+00;6.997053846004937441e+03
8.711230754850000091e-01;0.000000000000000000e+00;7.008991587081214675e+03
8.811230659480000504e-01;0.000000000000000000e+00;7.020832939849889954e+03
8.911230564119999586e-01;0.000000000000000000e+00;7.032572515345725151e+03
9.011230468750000000e-01;0.000000000000000000e+00;7.044247218288091972e+03
9.111230373380000414e-01;0.000000000000000000e+00;7.055830384970696286e+03
9.211230278019999496e-01;0.000000000000000000e+00;7.067323096620051729e+03
9.311230182649999909e-01;0.000000000000000000e+00;7.078748191529228279e+03
9.411230683329999680e-01;0.000000000000000000e+00;7.090084788632173513e+03
9.511230587960000094e-01;0.000000000000000000e+00;7.101307505712762577e+03
9.611230492590000507e-01;0.000000000000000000e+00;7.112474200312181893e+03
9.711230397219999810e-01;0.000000000000000000e+00;7.123581237736506409e+03
9.811230301860000003e-01;0.000000000000000000e+00;7.134600849363683665e+03
9.911230206490000416e-01;0.000000000000000000e+00;7.145540970647745780e+03
1.000000000000000000e+00;0.000000000000000000e+00;7.155192050857918730e+03
