X;Y
0;0
0;2774.748535
0;3457.469482
0;4420.178223
0;4752.198242
0;5199.5
0;5336.030273
0;5372.458984
0;5386.940918
0;5399.279785
0;5415.845215
0;5438.48584
0;5469.333008
0;5512.181641
0;5570.218262
0;5628.796387
0;5682.549316
0;5732.402344
0;5779.102539
0;5823.026855
0;5864.437012
0;5903.70752
0;5941.042969
0;5976.669922
0;6010.283691
0;6041.842773
0;6071.40625
0;6098.984375
0;6124.782227
0;6148.472168
0;6170.772949
0;6192.375
0;6213.413086
0;6233.936035
0;6254.018066
0;6273.695801
0;6292.98291
0;6311.947266
0;6330.573242
0;6348.872559
0;6366.880859
0;6384.62207
0;6402.103027
0;6419.315918
0;6436.288574
0;6453.035156
0;6469.561035
0;6485.866211
0;6501.966309
0;6517.850098
0;6533.561523
0;6549.077148
0;6564.411133
0;6579.570801
0;6594.558594
0;6609.370117
0;6624.020996
0;6638.522949
0;6652.861328
0;6667.058105
0;6681.099609
0;6694.999023
0;6708.756348
0;6722.382813
0;6735.860352
0;6749.222656
0;6762.45166
0;6775.557617
0;6788.539551
0;6801.38623
0;6814.118164
0;6826.739258
0;6839.248535
0;6851.631348
0;6863.908691
0;6876.07959
0;6888.137207
0;6900.094238
0;6911.951172
0;6923.694336
0;6935.333496
0;6946.881836
0;6958.334961
0;6969.691406
0;6980.950195
0;6992.11084
0;7003.183105
0;7014.15918
0;7025.044922
0;7035.840332
0;7046.554199
0;7057.177246
0;7067.710938
0;7078.162109
0;7088.532715
0;7098.825684
0;7109.029297
0;7119.155762
0;7129.203125
0;7139.165527
0;7149.046387
0;7158.855957
0;7168.588379
0;7178.24707
0;7187.833496
0;7197.338867
0;7206.770508
0;7216.129883
0;7225.419922
0;7234.64209
0;7236.854492
