Element;Node-1;Node-2;Node-3;Node-4
239;571;3082;3113;3163
240;1562;1552;1437;1446
241;1521;1252;1296;250
242;1068;1253;1296;18
243;272;1522;1671;1715
244;4899;2074;1967;2071
245;2658;2681;2450;2606
246;2726;2613;363;2520
247;2855;365;2680;2764
248;2963;2906;388;2615
249;433;2986;2925;2953
250;3126;4953;3171;5058
251;3312;3273;453;5091
252;3645;3670;3683;5375
253;4260;5406;522;4019
254;4116;3844;524;4023
255;4964;4405;4936;4321
256;4226;3888;4192;4836
257;570;3179;3184;4026
258;2634;584;2722;2555
259;1507;1253;1297;272
260;1069;1254;1297;19
261;2351;2142;341;4771
262;362;2379;2478;2255
263;4937;2261;2356;2557
264;2414;2501;4848;409
265;2692;5031;2704;2728
266;2657;451;2867;432
267;3811;3171;452;2845
268;3714;3697;471;2870
269;3705;5343;3683;489
270;4419;4378;4315;521
271;522;4341;4181;5344
272;4270;5140;5073;535
273;4432;553;4460;4364
274;569;4142;3975;3184
275;4373;4070;3943;583
276;1552;2634;598;1572
277;1522;1254;1236;295
278;1312;1070;21;1268
279;1907;1798;4579;4628
280;361;2052;1796;1614
281;4715;2261;363;2379
282;2247;2460;2045;4783
283;2500;2279;2399;431
284;2506;4873;2602;2449
285;2776;451;2699;2827
286;4983;2976;2718;4915
287;5200;3968;4139;4274
288;4395;4419;521;4358
289;4392;536;4351;5199
290;552;5165;4503;4493
291;4347;5011;4319;600
292;4283;4070;4373;4095
293;295;1883;1811;1738
294;1279;1071;1072;1280
295;1706;1517;360;1614
296;1857;1994;2083;1980
297;1840;1937;4604;407
298;2190;2137;2031;2110
299;4748;2055;449;4680
300;2333;4820;2418;2210
301;2586;486;2531;2649
302;5062;3810;4108;5135
303;5148;3968;5200;505
304;4139;5128;4187;4221
305;5269;5255;4312;4417
306;4503;5165;4481;4482
307;4509;4523;4485;567
308;581;4931;4414;4346
309;4307;5011;4347;582
310;317;1882;1798;2000
311;1279;1280;339;1882
312;1694;1512;1780;361
313;1783;1946;384;1698
314;1936;1751;1912;429
315;2005;1938;2055;2110
316;2015;2684;1917;467
317;468;2442;2333;2210
318;2587;2406;2527;4914
319;2880;2816;2758;2928
320;2889;2934;3128;4961
321;4453;4407;4335;564
322;4521;4531;5229;565
323;580;4505;4489;4474
324;5089;602;4455;4465
325;1281;1073;23;1270
326;1230;383;1533;1270
327;1643;1582;1484;1488
328;1503;1663;1754;406
329;1619;1711;1498;447
330;1816;4587;1735;4637
331;467;1757;1829;2047
332;2139;4693;2267;486
333;4860;4823;2435;4945
334;3915;2838;2935;4814
335;2864;2973;2709;2793
336;4155;549;4292;550
337;4528;4479;577;4501
338;579;4539;4534;4526
339;4526;4489;4505;579
340;1074;1230;1270;23
341;1230;4544;1426;383
342;1089;1424;1488;33
343;1424;427;1503;406
344;427;32;1088;1434
345;1434;1461;1498;1575
346;4054;31;1086;1455
347;4054;1455;1631;447
348;1455;1086;1085;1491
349;1087;1461;1434;1088
350;1575;428;1663;1503
351;1484;1426;1091;1090
352;1084;1549;1460;30
353;1836;1660;1729;2363
354;2330;543;2309;2440
355;4799;2754;547;2590
356;2413;2499;2591;2534
357;4182;4056;562;3935
358;4450;4448;577;4479
359;4519;4501;577;4514
360;4519;4530;5290;4501
361;604;4537;4541;4530
362;4443;4368;4313;4466
363;3971;5041;4280;575
364;2443;2609;574;4968
365;2166;2217;2551;573
366;1555;1571;1465;1479
367;34;1475;1492;1075
368;1569;1570;1492;1475
369;1996;572;2166;2102
370;1635;1871;4047;1459
371;1479;1076;1075;1492
372;1550;559;1724;1635
373;1469;27;1079;544
374;2330;516;3941;543
375;2440;2309;542;4685
376;516;1729;1660;3941
377;1451;1579;1648;1463
378;1489;1081;1080;1544
379;1544;1588;137;1489
380;1095;624;1543;36
381;1471;1096;37;1542
382;1589;1662;1669;638
383;681;2021;2100;2353
384;4895;2438;2431;4801
385;5061;5060;2920;3070
386;3032;2995;3069;706
387;3517;5422;3581;5357
388;3608;745;3650;3576
389;5478;3631;3639;5472
390;3559;788;3591;5461
391;3509;812;5452;3547
392;5466;3566;5484;858
393;3426;5390;3395;5467
394;3978;883;4232;4104
395;2678;4410;4041;4971
396;4846;2426;4865;2582
397;2085;4741;2455;1985
398;1692;4651;1770;1681
399;1238;1318;4016;1047
400;1151;1319;1237;82
401;1542;37;1097;1467
402;682;1731;1662;1589
403;685;2252;1925;1931
404;703;2576;2644;2251
405;2993;2990;2858;2919
406;3153;3107;723;3199
407;3905;4157;4071;3902
408;3732;787;5505;3744
409;3743;5514;5527;3694
410;3752;5502;5507;5498
411;857;3610;3654;3710
412;3516;3480;858;3655
413;3884;3442;3497;5333
414;4205;4333;907;4111
415;2778;953;5033;2830
416;2455;2603;2345;1000
417;2225;2084;2156;2237
418;1149;1317;1148;80
419;1150;1318;1238;81
420;65;1132;1350;1398
421;1691;1769;982;4678
422;1239;47;1111;1313
423;1313;1111;46;1298
424;1110;1255;1298;46
425;1025;1523;1255;1242
426;1717;1352;1399;1026
427;1398;1351;1133;65
428;1993;1351;1398;1027
429;3503;2567;2626;3544
430;2088;2197;1984;982
431;1691;1779;1596;4566
432;48;1299;1257;1114
433;1113;1314;1299;48
434;1139;72;1331;1360
435;1038;1923;1799;4576
436;1037;4135;3988;4578
437;1335;1338;1136;69
438;1035;2318;1818;2002
439;1034;2171;2041;2211
440;1125;58;1391;1357
441;1126;59;1392;1356
442;1127;60;1421;1355
443;1128;61;1393;1354
444;1353;1395;3979;4552
445;3524;1329;1396;1029
446;1397;1350;1132;64
447;64;1131;1329;1397
448;1104;1480;1478;41
449;1490;42;1106;1458
450;1490;1458;756;1644
451;777;1900;1699;1784
452;2297;4917;2491;779
453;3831;3637;825;4196
454;5386;5385;3546;3969
455;3250;3279;3334;920
456;943;3020;3052;3165
457;2813;967;2656;2755
458;2510;2277;2421;4886
459;1964;4765;2065;4805
460;4593;4616;2368;2521
461;2081;1909;1016;1978
462;1799;1909;3931;4576
463;1613;1535;4554;1910
464;1039;1535;1613;1709
465;1978;1854;2082;994
466;2601;2357;2461;2619
467;2625;2810;2736;972
468;3012;3800;2978;949
469;4094;4018;4230;904
470;5454;5391;4126;5388
471;859;3480;3451;3426
472;3676;3681;3655;5455
473;3620;3677;835;3587
474;3695;3692;856;3649
475;3642;3679;3719;855
476;854;4089;4043;5492
477;830;5510;3803;4097
478;852;3613;3960;4113
479;3839;4113;4273;851
480;3850;3601;850;4119
481;3485;3336;3455;3521
482;849;3521;3455;3486
483;43;1481;1458;1106
484;1784;1699;1642;1584
485;4725;1601;4611;1696
486;1616;1526;822;1705
487;1637;1527;844;1719
488;1676;1518;867;4606
489;1918;868;1740;2001
490;4649;2059;1887;1682
491;936;1766;1686;1592
492;1774;4615;4568;1895
493;1984;983;2090;1863
494;984;4792;2456;4766
495;2781;4766;3382;985
496;3317;3380;3375;3265
497;3204;3160;3060;987
498;1009;3013;2979;2949
499;4645;2874;2802;2727
500;2659;2495;2860;990
501;4732;2814;2860;2409
502;2064;1964;4805;2148
503;2149;1841;1014;2276
504;2336;1012;2446;991
505;2421;2265;969;2447
506;4886;968;2600;4809
507;2892;2947;2938;4684
508;989;2940;2874;4645
509;987;3059;3319;3266
510;3225;3220;3828;3204
511;3314;962;2833;3383
512;2781;2669;984;4766
513;2326;983;4780;2344
514;982;1984;1863;4678
515;961;2403;2487;4923
516;1240;1257;1505;935
517;50;1300;1258;1116
518;1115;1315;1300;50
519;1258;2126;4557;1241
520;52;1301;1259;1118
521;1740;1884;890;2001
522;1242;45;1109;4546
523;1135;67;1400;4546
524;1399;1352;1134;66
525;63;1130;1353;1396
526;62;1128;1354;1394
527;61;1127;1355;1393
528;60;1126;1356;1421
529;59;1125;1357;1392
530;58;1124;1358;1391
531;57;1123;1339;1390
532;1536;1338;1335;1037
533;69;1137;1332;1335
534;1359;1336;70;1138
535;1361;1331;72;1140
536;1040;2724;2632;4575
537;2463;1017;1910;4575
538;2263;2569;995;2153
539;2619;2461;4841;2783
540;2887;2878;973;2836
541;5046;4052;950;4004
542;905;4369;4276;4125
543;5333;3497;4125;4276
544;73;1141;1362;1402
545;1362;1403;2893;1041
546;1018;2730;2618;2538
547;2569;4646;4700;2629
548;2896;974;2837;4718
549;4058;951;4941;2910
550;4333;4446;5207;907
551;74;1142;1363;1403
552;1364;1363;1142;1143
553;3966;3801;2895;1042
554;2731;2843;4717;997
555;4813;2909;997;4717
556;5023;952;3993;4957
557;4427;930;5164;4337
558;75;1144;1365;1404
559;1144;76;1405;1365
560;1043;3927;4090;4203
561;4708;2902;4656;3845
562;998;4811;2809;4882
563;954;2778;2677;2582
564;76;1145;1366;1405
565;1145;77;1406;1366
566;4099;3954;1045;3973
567;2454;4682;4742;2700
568;4877;3808;977;2623
569;77;1146;1367;1406
570;1146;78;1407;1367
571;2233;4570;3973;2300
572;1000;2156;1985;2455
573;2132;1046;2283;1952
574;1024;1890;1952;4016
575;1148;1317;1368;79
576;1508;1261;1302;957
577;1524;1262;1303;934
578;934;1509;1628;1704
579;4677;1968;4730;1845
580;2195;4909;2365;887
581;2848;817;2913;2966
582;3214;5143;3177;5223
583;3053;5080;3019;5158
584;3042;3026;749;5082
585;3170;3270;3244;3211
586;710;3607;3647;3712
587;709;3531;3498;3561
588;3357;5367;5387;3404
589;3378;3346;659;5289
590;4101;3917;3368;3843
591;3068;3007;641;4855
592;626;3114;3085;3044
593;2723;3176;586;3944
594;1554;585;2633;1563
595;1509;1263;1304;912
596;912;1525;1672;1714
597;1971;864;2195;2072
598;2319;2202;841;2172
599;2673;2823;2768;818
600;2767;2913;817;4927
601;771;5161;5162;2744
602;749;2987;2918;2954
603;5082;3167;3127;3042
604;729;5081;3270;3170
605;3648;3671;3682;692
606;4184;3885;4216;4079
607;4180;4020;5337;4257
608;677;4115;3843;3368
609;643;4406;4228;4101
610;4225;3887;4193;4831
611;4096;3976;587;4284
612;2633;585;2723;2554
613;3112;612;3176;3162
614;1157;1264;1304;87
615;1914;1808;1718;865
616;2130;4701;2150;842
617;2172;819;2260;2355
618;795;2541;2670;2533
619;772;2572;2481;2395
620;5161;2854;2786;5162
621;2759;731;2857;750
622;2944;712;2977;711
623;5159;3711;3696;711
624;5369;4128;3885;3704
625;4420;4379;4316;674
626;675;4340;4180;4257
627;630;4494;4436;4471
628;4433;629;4461;4363
629;613;4143;3976;3185
630;4374;4069;3944;586
631;3176;612;4025;586
632;1525;1264;1243;889
633;1321;1158;1159;1286
634;866;1510;1636;1718
635;4659;4640;2118;4622
636;2295;2066;796;1934
637;4851;2514;4786;773
638;752;2370;2280;2189
639;731;2759;2509;2419
640;2825;4852;2775;730
641;5167;5109;2719;695
642;4127;4109;4241;3857
643;662;3967;4138;4275
644;4471;5256;4480;630
645;630;4483;4499;4494
646;587;4345;5042;4284
647;587;3976;4143;4308
648;889;1885;1808;1739
649;1286;1271;1510;866
650;1615;4571;1513;821
651;2111;2032;753;2006
652;2056;733;2469;752
653;714;2332;2209;2178
654;696;2532;2588;2249
655;664;2815;2686;2589
656;4091;3143;3967;662
657;4342;5301;4144;5383
658;4311;4349;646;5302
659;4508;4504;4483;4495
660;4510;4524;4484;615
661;4459;589;4933;4318
662;588;4217;4318;4933
663;1287;1160;90;1272
664;1287;843;1510;1271
665;798;1651;1600;1532
666;1685;4632;4633;1834
667;754;1712;1913;1752
668;2006;1939;2056;2111
669;2682;1916;2018;2214
670;4777;2138;2249;2441
671;665;2526;2405;4853
672;2881;2815;664;2757
673;2932;3129;2890;648
674;632;4156;4033;2863
675;4454;4334;4511;617
676;4508;617;4522;4532
677;589;4506;4490;4473
678;589;4459;4484;4506
679;1288;1161;91;1273
680;1231;798;1532;1273
681;1178;1482;1429;1179
682;1574;1504;755;1423
683;1499;735;1712;754
684;1665;716;1733;1916
685;715;1758;1830;2046
686;666;2193;1958;1924
687;2436;2690;2526;665
688;3914;2839;2933;4930
689;633;2792;2708;5013
690;4086;5234;4518;4357
691;4502;5305;5312;592
692;590;4538;4535;4525
693;1162;1231;1273;91
694;1231;4547;1429;798
695;1622;1583;1565;4577
696;1428;1472;4558;775
697;755;100;1176;1423
698;1432;1499;1574;1423
699;4055;99;1174;1464
700;2030;1567;1441;1454
701;1173;1441;1464;1174
702;1620;1712;735;1633
703;1175;1432;1423;1176
704;754;1664;1574;1499
705;101;1428;1482;1178
706;98;1454;1441;1173
707;1585;4556;1502;1608
708;1659;1728;136;1587
709;2329;651;4694;2439
710;2652;2738;2753;634
711;621;2498;2412;2243
712;4057;620;4183;619
713;4449;4421;5259;5260
714;593;4421;4309;4365
715;4366;4518;5234;619
716;4520;4529;5305;4502
717;4314;4442;4365;594
718;2412;2593;633;2535
719;2628;650;2738;2652
720;4745;2308;650;2628
721;1728;1659;3942;669
722;1438;1170;96;1425
723;97;668;1227;1171
724;2030;1454;1725;4561
725;1438;1425;1578;1647
726;136;1578;1425;1449
727;1448;95;1167;637
728;4046;1431;1634;1872
729;1997;597;2165;2103
730;595;2444;2608;4966
731;2244;2401;2135;622
732;2444;2401;2244;596
733;3972;3934;2473;595
734;3972;4140;4279;594
735;1587;1541;1448;1736
736;93;1439;1457;1165
737;2165;2216;2552;596
738;622;1881;2103;2244
739;1564;1556;597;1997
740;102;1443;1493;1163
741;1446;1181;103;1453
742;1539;104;1183;558
743;1548;107;1189;1436
744;1436;1189;108;1462
745;1744;1734;1667;4644
746;443;2184;2120;1955
747;5048;422;2750;2579
748;5156;5157;421;3017
749;4137;3926;375;5414
750;4146;4253;4003;5511
751;3605;3644;3804;3879
752;3556;3568;4002;328
753;3630;305;5339;3595
754;3624;3599;260;3627
755;3690;3730;3718;3701
756;4201;3799;4042;235
757;2519;2581;2717;2660
758;2162;4601;2420;189
759;142;2386;2385;2320
760;1789;4553;1701;163
761;464;4599;1618;1801
762;1545;1630;1558;1430
763;445;1710;1496;1577
764;2168;1759;1876;1957
765;2476;2373;402;2544
766;4963;2408;2296;4891
767;5052;4962;2306;3908
768;2304;2203;2383;356
769;313;5125;5049;2287
770;2597;2482;2466;2549
771;5014;2367;2205;2317
772;2343;2453;2604;246
773;2488;4928;2404;4869
774;202;2346;2240;2457
775;4744;4661;179;4734
776;2594;2617;4661;2595
777;2779;2617;156;2831
778;2779;179;4661;2617
779;2782;4881;3048;2834
780;2876;2808;2622;224
781;2667;246;2734;2903
782;2367;2739;291;2272
783;2549;291;2630;2740
784;4009;3852;5126;5125
785;3519;5282;3542;3946
786;356;3583;3638;3908
787;5020;2713;2624;2494
788;424;2286;2144;2109
789;2004;1922;444;4775
790;1734;1744;1831;4589
791;1190;1430;1462;108
792;1435;1192;1193;446
793;1445;110;1194;1422
794;1445;1422;426;1645
795;1787;1700;1901;4029
796;1722;445;1577;1645
797;1645;426;1787;1722
798;1577;1496;1435;446
799;1195;1427;1456;111
800;1786;1700;1641;1568
801;1602;4724;1782;1652
802;1617;1511;359;1708
803;1638;1515;338;1720
804;1677;1531;316;1741
805;1911;315;1741;1806
806;1626;1530;271;1908
807;1688;248;1767;1683
808;1772;1591;1892;4610
809;1776;1598;1693;4654
810;1771;204;4654;4655
811;3991;1951;2188;2213
812;1951;1891;1970;182
813;2429;2536;2415;2407
814;2429;2407;3997;157
815;4712;2226;2196;1986
816;4697;1986;4768;1864
817;1868;2161;2097;4770
818;1990;247;2159;2094
819;1849;2151;4887;2078
820;292;2366;1974;2078
821;315;1965;1843;2029
822;337;1973;1847;1949
823;358;2023;1860;1793
824;1858;381;1981;4818
825;4549;1197;124;1223
826;1198;1322;1249;114
827;1323;1199;114;1249
828;1961;1247;227;4562
829;1326;1625;3987;1246
830;1266;1204;118;1246
831;1886;1806;1741;316
832;338;1289;1305;1531
833;359;1275;1290;1515
834;1275;359;1511;1291
835;1228;4548;3929;405
836;405;1568;1427;1228
837;1274;123;1209;1291
838;1275;122;1208;1290
839;1206;1267;1305;121
840;1245;120;1205;1327
841;1204;1266;1306;119
842;1246;118;1203;1326
843;1202;1265;1307;117
844;1247;116;1201;1325
845;1248;115;1199;1323
846;134;1221;1369;1418
847;133;1220;1370;1417
848;132;1219;1371;1416
849;131;1218;1372;1415
850;130;1217;1373;1414
851;129;1215;1374;1412
852;128;1214;1375;1411
853;127;1213;1376;1410
854;126;1212;1333;1409
855;1328;1334;1211;11
856;1449;1541;1587;136
857;669;3942;2329;2545
858;1904;1701;4553;141
859;1788;4550;140;1998
860;1902;2019;2321;1609
861;2038;143;2320;2385
862;4582;1791;1702;1790
863;1905;1999;1790;1702
864;1999;168;2143;2053
865;2369;2537;2390;4618
866;148;1537;1674;1742
867;149;1534;1673;4585
868;2322;2010;4612;2305
869;3870;2675;2769;3563
870;3504;4688;4278;3563
871;176;3435;3397;4689
872;3050;154;3087;3116
873;2961;2905;2885;155
874;3002;2905;2961;4551
875;144;1538;1610;4582
876;145;1999;2053;3994
877;2537;2369;2468;4584
878;1674;1537;147;1878
879;1673;1534;148;1742
880;2322;2305;4594;4586
881;2769;2675;2528;2637
882;174;3504;3563;2769
883;175;3397;3435;4635
884;3087;153;3464;3116
885;1380;1378;1049;1
886;1378;1340;0;1049
887;1340;1379;1048;0
888;1998;2063;2234;162
889;2479;1874;2099;187
890;163;1992;1874;1789
891;2428;2387;2565;188
892;4601;2162;1873;166
893;1991;1873;2162;2098
894;2040;1991;4735;2324
895;2278;193;2146;170
896;1979;1856;2060;194
897;2445;2384;4681;172
898;2512;2305;4681;2384
899;2637;4719;174;2769
900;2743;197;174;4719
901;3397;3356;3259;4689
902;3174;200;3110;3274
903;3003;3039;3076;201
904;3076;3039;3110;200
905;167;1702;1791;4620
906;2313;4619;2324;191
907;2212;2417;2208;2143
908;170;2146;1856;1763
909;171;1763;1856;1979
910;1764;1855;172;1879
911;2384;2556;4788;2512
912;3500;3462;3492;4749
913;3274;3110;177;3895
914;2568;2457;2240;180
915;2834;201;4833;2782
916;1891;1771;4655;1679
917;4614;4658;1768;1680
918;2087;2157;2224;161
919;1992;2039;2191;186
920;4862;2574;2416;2314
921;187;2416;2502;2565
922;4703;2427;4802;2559
923;212;2721;2717;2559
924;2585;2391;2519;2701
925;3838;2513;2661;4854
926;2464;2562;2696;4874
927;2264;2179;2359;216
928;3862;2882;195;2180
929;196;2924;2866;4787
930;3861;2811;2866;3056
931;3091;3432;3462;4828
932;3313;198;3398;3478
933;3275;3248;3213;199
934;4995;3489;3420;3015
